"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 09:28:17 GMT 2024","Wed May 01 09:28:17 GMT 2024","263","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_startWithSpace","Tạo đơn hàng với Mã đơn hàng = ""  DH123""",""
"failed","Wed May 01 09:28:25 GMT 2024","Wed May 01 09:28:30 GMT 2024","5601","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_emptyProductData","Thêm sản phẩm vào đơn hàng với data trống",""
"passed","Wed May 01 09:28:13 GMT 2024","Wed May 01 09:28:16 GMT 2024","2707","Default Suite","pftesting","org.example.pftesting.testcases.orders.OrderPage","org.example.pftesting.testcases.orders.OrderPage","bulkActionButtonsAppear","Kiểm tra bulk action buttons xuất hiện",""
"failed","Wed May 01 09:28:42 GMT 2024","Wed May 01 09:28:48 GMT 2024","5769","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_invalidCharacterProductPrice","Thêm sản phẩm vào đơn hàng với giá = --1",""
"failed","Wed May 01 09:28:36 GMT 2024","Wed May 01 09:28:42 GMT 2024","5698","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_emptyProductQuantity","Thêm sản phẩm vào đơn hàng với số lượng trống",""
"failed","Wed May 01 09:28:17 GMT 2024","Wed May 01 09:28:24 GMT 2024","7355","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_defaultProductData","Thêm sản phẩm vào đơn hàng với data mặc định",""
"passed","Wed May 01 09:28:02 GMT 2024","Wed May 01 09:28:03 GMT 2024","1058","Default Suite","pftesting","org.example.pftesting.testcases.suppliers.SupplierPage","org.example.pftesting.testcases.suppliers.SupplierPage","pageIsLoaded","Đảm bảo trang quản lý nhà cung cấp được load thành công",""
"passed","Wed May 01 09:28:10 GMT 2024","Wed May 01 09:28:13 GMT 2024","3183","Default Suite","pftesting","org.example.pftesting.testcases.orders.OrderPage","org.example.pftesting.testcases.orders.OrderPage","pageIsLoaded","Đảm bảo trang quản lý đơn hàng được load thành công",""
"passed","Wed May 01 09:28:16 GMT 2024","Wed May 01 09:28:16 GMT 2024","252","Default Suite","pftesting","org.example.pftesting.testcases.orders.OrderPage","org.example.pftesting.testcases.orders.OrderPage","unSelectAll","Kiểm tra chức năng bỏ chọn tất cả",""
"passed","Wed May 01 09:28:16 GMT 2024","Wed May 01 09:28:16 GMT 2024","269","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_containsSpace","Tạo đơn hàng với Mã đơn hàng = ""  123""",""
"failed","Wed May 01 09:29:06 GMT 2024","Wed May 01 09:29:13 GMT 2024","7685","Default Suite","pftesting","org.example.pftesting.testcases.orders.CreateOrder","org.example.pftesting.testcases.orders.CreateOrder","createOrder_invalidData_zeroProductPrice","Thêm sản phẩm vào đơn hàng với giá = 0",""
